timestamp;x;y;z,
8,41379E+12;-0.25857377;0.5746084;9.548.077
8,4138E+12;-0.23942018;0.641646;9.600.749
8,41381E+12;-0.23942018;0.58418524;9.543.288
8,41382E+12;-0.21547815;0.6560113;9.586.384
8,41383E+12;-0.22505496;0.62249243;9.610.326
8,41384E+12;-0.21547815;0.61770403;9.581.595
8,41385E+12;-0.24899697;0.61770403;9.548.077
8,41385E+12;-0.23942018;0.61291564;9.581.595
8,41387E+12;-0.24899697;0.58897364;9.629.479
8,41388E+12;-0.24899697;0.6703765;956.723
8,41388E+12;-0.24899697;0.62728083;9.600.749
8,4139E+12;-0.30166942;0.60333884;9.562.442
8,41391E+12;-0.22984336;0.62249243;9.519.346
8,41391E+12;-0.24899697;0.6368576;9.533.711
8,41392E+12;-0.21547815;0.61770403;9.634.268
8,41393E+12;-0.19153613;0.6703765;9.629.479
8,41394E+12;-0.21068975;0.60812724;9.595.961
8,41395E+12;-0.22026655;0.62728083;9.586.384
8,41396E+12;-0.23463176;0.5746084;9.619.903
8,41397E+12;-0.23463176;0.62249243;9.610.326
8,41398E+12;-0.22984336;0.5602432;9.610.326
8,41399E+12;-0.25378537;0.59855044;9.629.479
8,414E+12;-0.22505496;0.58897364;9.619.903
8,41401E+12;-0.25378537;0.5602432;9.634.268
8,41402E+12;-0.23942018;0.62249243;9.581.595
8,41403E+12;-0.25378537;0.641646;9.605.537
8,41404E+12;-0.21547815;0.6703765;9.576.807
8,41405E+12;-0.25378537;0.60812724;9.595.961
8,41406E+12;-0.20590134;0.62728083;9.648.633
8,41407E+12;-0.22026655;0.60333884;9.605.537
8,41408E+12;-0.22026655;0.59855044;9.586.384
8,41409E+12;-0.24899697;0.59376204;9.572.019
8,4141E+12;-0.21068975;0.58897364;9.572.019
8,41411E+12;-0.24899697;0.62728083;9.610.326
8,41412E+12;-0.24420857;0.63206923;9.624.691
8,41413E+12;-0.22984336;0.59376204;9.548.077
8,41414E+12;-0.23463176;0.641646;956.723
8,41415E+12;-0.22505496;0.60333884;956.723
8,41416E+12;-0.272939;0.6655881;9.643.845
8,41417E+12;-0.23463176;0.61770403;9.639.056
8,41418E+12;-0.25378537;0.59376204;9.572.019
8,41419E+12;-0.23942018;0.6368576;9.572.019
8,4142E+12;-0.18195933;0.62249243;965.821
8,41421E+12;-0.24899697;0.61291564;9.581.595
8,41422E+12;-0.25378537;0.641646;9.533.711
8,41423E+12;-0.22505496;0.60333884;956.723
8,41424E+12;-0.20590134;0.59855044;9.624.691
8,41425E+12;-0.22984336;0.6799533;9.581.595
8,41426E+12;-0.23463176;0.60812724;956.723
8,41427E+12;-0.17238252;0.6368576;9.605.537
8,41428E+12;-0.17717093;0.6368576;9.600.749
8,41429E+12;-0.272939;0.60333884;9.615.114
8,4143E+12;-0.19153613;0.6464345;9.615.114
8,41431E+12;-0.22026655;0.641646;9.619.903
8,41432E+12;-0.20590134;0.62249243;9.610.326
8,41433E+12;-0.2681506;0.62249243;95.385
8,41434E+12;-0.17238252;0.60333884;9.586.384
8,41435E+12;-0.25857377;0.62249243;9.595.961
8,41436E+12;-0.25857377;0.6464345;9.595.961
8,41437E+12;-0.23463176;0.6368576;9.576.807
8,41438E+12;-0.2777274;0.59855044;9.591.172
8,41439E+12;-0.23463176;0.62728083;9.595.961
8,4144E+12;-0.23463176;0.6368576;9.624.691
8,41441E+12;-0.23463176;0.61770403;9.591.172
8,41442E+12;-0.22984336;0.61770403;9.615.114
8,41443E+12;-0.25857377;0.63206923;9.576.807
8,41444E+12;-0.23463176;0.5793968;9.610.326
8,41445E+12;-0.21547815;0.62728083;965.821
8,41446E+12;-0.23942018;0.59855044;9.619.903
8,41447E+12;-0.23942018;0.58418524;9.643.845
8,41448E+12;-0.24420857;0.641646;9.615.114
8,41449E+12;-0.21068975;0.60812724;9.643.845
8,4145E+12;-0.22026655;0.60333884;9.615.114
8,41451E+12;-0.2633622;0.61770403;9.639.056
8,41452E+12;-0.22984336;0.59376204;956.723
8,41453E+12;-0.23942018;0.5793968;9.634.268
8,41454E+12;-0.24899697;0.56982;9.610.326
8,41455E+12;-0.23942018;0.63206923;9.624.691
8,41456E+12;-0.23463176;0.62728083;9.595.961
8,41457E+12;-0.24420857;0.6560113;9.591.172
8,41458E+12;-0.22984336;0.60333884;9.605.537
8,41459E+12;-0.23463176;0.58897364;9.533.711
8,4146E+12;-0.23942018;0.6751649;9.600.749
8,41461E+12;-0.24420857;0.61291564;9.595.961
8,41462E+12;-0.22505496;0.61770403;9.629.479
8,41463E+12;-0.25378537;0.56982;965.821
8,41464E+12;-0.22984336;0.5793968;9.624.691
8,41465E+12;-0.25378537;0.61770403;9.639.056
8,41466E+12;-0.22026655;0.62249243;9.576.807
8,41467E+12;-0.25378537;0.6512229;9.586.384
8,41468E+12;-0.22984336;0.6607997;9.605.537
8,41469E+12;-0.23942018;0.6368576;9.557.653
8,4147E+12;-0.24420857;0.63206923;9.572.019
8,41471E+12;-0.23463176;0.61291564;9.624.691
8,41472E+12;-0.23463176;0.56982;9.595.961
8,41473E+12;-0.20590134;0.5650316;9.595.961
8,41474E+12;-0.22984336;0.60333884;9.634.268
8,41475E+12;-0.22984336;0.60812724;965.821
8,41476E+12;-0.25378537;0.61291564;9.591.172
8,41477E+12;-0.21547815;0.60812724;965.821
8,41478E+12;-0.23942018;0.6368576;956.723
8,41479E+12;-0.20111294;0.62728083;9.581.595
8,4148E+12;-0.22984336;0.6368576;9.600.749
8,41481E+12;-0.24420857;0.63206923;956.723
8,41482E+12;-0.22026655;0.62249243;9.610.326
8,41483E+12;-0.24420857;0.641646;9.600.749
8,41484E+12;-0.22026655;0.59855044;9.600.749
8,41485E+12;-0.22026655;0.58418524;9.619.903
8,41486E+12;-0.23463176;0.62249243;9.605.537
8,41487E+12;-0.2633622;0.63206923;9.605.537
8,41488E+12;-0.22984336;0.62728083;9.682.152
8,41489E+12;-0.24420857;0.641646;9.624.691
8,4149E+12;-0.2681506;0.6368576;9.615.114
8,41491E+12;-0.19632454;0.5793968;9.595.961
8,41492E+12;-0.22026655;0.5650316;9.595.961
8,41493E+12;-0.23463176;0.59376204;9.605.537
